FindingID,Component,Severity,Status,DetectedAt,DueDate,ExceptionID,ExceptionUntil,Category,Summary
FND-1001,auth-api,S1,OPEN,2026-02-01,2026-02-10,,,"Auth replay window"
FND-1002,auth-api,S2,OPEN,2026-02-05,2026-02-20,,,"Weak header policy"
FND-1003,auth-api,S3,IN_PROGRESS,2026-02-03,2026-02-05,,,"Log verbosity"
FND-1004,auth-api,S1,CLOSED,2026-01-01,2026-01-15,,,"Closed issue"
FND-1101,billing-svc,S1,OPEN,2026-01-15,2026-01-25,EX-7001,2026-02-16,"Payment edge case","ExceptionUntil inclusive edge"
FND-1102,billing-svc,S2,OPEN,2026-02-10,2026-02-14,,,"Retry overflow"
FND-1103,billing-svc,S4,OPEN,2026-02-02,2026-02-02,,,"Informational note"
FND-1104,billing-svc,S2,OPEN ,2026-02-20,2026-03-01,,,"Future detected should be ignored"
FND-1105,billing-svc,S1,OPEN,2026-02-16,2026-02-16,,,"DueDate equals AsOf"
FND-2001,search-core,S2,OPEN,2026-01-20,2026-02-01,,,"Index exposure"
FND-2002,search-core,S2,open,2026-02-08,2026-02-12,,,"Case-insensitive OPEN"
FND-2003,search-core,S1,OPEN,2026-02-02,2026-02-06,EX-7010,2026-02-20,"Proxy rule","Active exception overrides block"
FND-2004,search-core,S3,CLOSED,2026-01-10,2026-01-25,,,"Closed"
FND-2101,recommend-engine,S1,OPEN,2026-02-01,2026-02-05,,,"Artifact leak"
FND-2102,recommend-engine,S3,OPEN,2026-02-02,2026-02-03,,,"Minor config drift"
FND-2103,recommend-engine,s2,IN_PROGRESS,2026-02-07,2026-02-08,,,"Lowercase severity"
FND-2104,recommend-engine,S2,IN_PROGRESS,2026-02-18,2026-02-19,,,"Future detected (ignore)"
FND-2201,inventory,S2,OPEN,2026-02-06,2026-02-09,,,"Sync lag"
FND-2202,inventory,S1,OPEN,2026-02-01,2026-02-03,,,"Auth bypass"
FND-2203,inventory,S4,OPEN,2026-02-13,2026-02-13,,,"Info"
FND-2204,inventory,S1,OPEN,2026-01-25,2026-02-01,EX-7020,2026-02-15,"Warehouse","Expired exception edge"
FND-3001,checkout-web,S2,OPEN,2026-02-04,2026-02-10,,,"Validation gap"
FND-3002,checkout-web,S3,OPEN,2026-02-06,2026-02-07,,,"Low severity"
FND-3003,checkout-web,S1,CLOSED,2026-01-11,2026-01-20,,,"Closed"
FND-3101,catalog,S1,OPEN,2026-02-12,2026-02-14,,,"Injection risk"
FND-3102,catalog,S2,OPEN,2026-01-29,2026-02-01,,,"Stale dependency CVE"
FND-3103,catalog,S4,OPEN,2026-02-10,2026-02-11,,,"Info"
FND-3201,media-cdn,S2,OPEN,2026-02-15,2026-02-16,,,"Header issue"
FND-3202,media-cdn,S1,OPEN,2026-02-05,2026-02-09,,,"Signed URL weakness"
FND-3203,media-cdn,S3,OPEN,2026-01-01,2026-01-15,,,"Old low risk"
FND-3301,support-portal,S4,OPEN,2026-02-01,2026-02-01,,,"OK-only open finding"
FND-3302,support-portal,S3,CLOSED,2026-01-10,2026-01-20,,,"Closed"
FND-3401,analytics-pipeline,S2, OPEN,2026-02-03,2026-02-06,,,"Leading space in Status"
FND-3402,analytics-pipeline,S1,OPEN,2026-02-12,2026-02-13,,,"Analytics auth"
FND-3403,analytics-pipeline,S3,OPEN,2026-02-14,2026-02-20,,,"Minor issue"
